DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
 1  95  80  88   4   0  23 0.00  0.0    0 13.8 23 180   M    M   4 NA       30 180
 2  98  79  89   5   0  24 0.00  0.0    0  9.3 17 180   M    M   2 8      24 190
 3 100  75  88   4   0  23 0.00  0.0    0  8.9 23 120   M    M   0 NA        28 130
 4 100  69  85   1   0  20 0.00  0.0    0  7.8 14 170   M    M   0  NA       18 100
 5  96  78  87   3   0  22 0.00  0.0    0  7.1 13 170   M    M   1  NA       17 180
 6  95  75  85   1   0  20 0.11  0.0    0  6.8 24 340   M    M   4 13     32 340
 7  83  72  78  -6   0  13 2.67  0.0    0  4.6 24  60   M    M   6 13     32  60
 8  96  75  86   1   0  21 0.00  0.0    0 10.5 18 180   M    M   3 NA        23 190
 9  97  79  88   3   0  23 0.00  0.0    0 13.4 22 180   M    M   2 NA        29 170
10  99  77  88   3   0  23 0.00  0.0    0 10.7 21 180   M    M   2  NA       26 170
11  99  79  89   4   0  24 0.00  0.0    0  9.3 17 190   M    M   0 NA        21 190
12 103  79  91   6   0  26    T  0.0    0  8.3 23 200   M    M   0 NA        32  40
13 103  79  91   6   0  26 0.00  0.0    0 11.2 22 170   M    M   0 NA        27 170
14 101  77  89   4   0  24 0.00  0.0    0 15.1 25 170   M    M   0 NA        32 160
15  97  79  88   3   0  23 0.00  0.0    0 14.0 22 180   M    M   0 NA        30 170
16  99  77  88   3   0  23 0.00  0.0    0 11.1 21 170   M    M   0 NA        29 170
17  97  78  88   3   0  23 0.00  0.0    0  9.0 17 150   M    M   0 NA        24 140
18  95  77  86   0   0  21 0.00  0.0    0 11.1 17 160   M    M   2 NA        25 170
19  96  76  86   0   0  21 0.00  0.0    0  8.0 16 100   M    M   1  NA       20 110
20  96  75  86   0   0  21 0.00  0.0    0  9.4 22 120   M    M   1 NA        29 110
21  91  75  83  -3   0  18 0.01  0.0    0  6.4 14 100   M    M   5 NA        18 100
22  96  77  87   1   0  22 0.00  0.0    0  8.3 17 130   M    M   4 NA        26 110
23  97  77  87   1   0  22 0.00  0.0    0  7.8 15  60   M    M   1 NA        20  60
24  97  74  86   0   0  21 0.00  0.0    0  9.1 23 110   M    M   2 8      28 110
25  93  76  85  -1   0  20 0.15  0.0    0  7.6 26 110   M    M   4 3      32 110
26  93  74  84  -2   0  19    T  0.0    0  5.8 28 180   M    M   5 3      33 180
27  95  74  85  -1   0  20 0.00  0.0    0  6.0 13 170   M    M   4 1      18 140
28  90  75  83  -3   0  18 0.20  0.0    0  6.8 21 340   M    M   4 13     30 340
29  97  78  88   2   0  23 0.00  0.0    0 13.7 28 180   M    M   0 NA        35 190
30 100  77  89   3   0  24 0.00  0.0    0 14.6 22 170   M    M   1  NA       29 170
31  96  77  87   1   0  22 0.00  0.0    0  8.9 20 190   M    M   4  NA       25 190
