DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
 1  60  28  44  -8  21   0 0.00  0.0    0 13.1 26 170   M    M   1 NA       34 170
 2  61  38  50  -1  15   0    T  0.0    0  8.0 17 310   M    M   4  NA       24 300
 3  49  34  42  -9  23   0 0.00  0.0    0  9.8 17 320   M    M   7  NA       24 340
 4  59  30  45  -6  20   0 0.00  0.0    0  5.6 13  10   M    M   2 NA        17 360
 5  61  29  45  -5  20   0 0.00  0.0    0  4.4  9 210   M    M   3 8      12 220
 6  63  36  50   0  15   0 0.00  0.0    0  8.8 18 340   M    M   3  NA       27 340
 7  66  35  51   1  14   0 0.00  0.0    0  6.5 15  10   M    M   0 8      19 340
 8  77  32  55   6  10   0 0.00  0.0    0  3.9  9 350   M    M   0 8      13 320
 9  80  32  56   7   9   0 0.00  0.0    0  5.8 13 220   M    M   0 8      17 230
10  77  33  55   6  10   0 0.00  0.0    0 11.1 23 190   M    M   0 8      29 170
11  67  49  58   9   7   0 0.15  0.0    0  7.6 16 130   M    M   7 12     20 140
12  59  40  50   2  15   0 0.00  0.0    0  6.8 16 350   M    M   0  NA       23 340
13  49  39  44  -4  21   0 0.69  0.0    0 11.5 29 340   M    M   9 13     39 330
14  51  35  43  -5  22   0 0.00  0.0    0  7.1 18  10   M    M   5  NA       25 360
15  47  36  42  -6  23   0    T  0.0    0  5.2 15 170   M    M   8 1      20 170
16  51  28  40  -8  25   0 0.00  0.0    0  6.6 14 310   M    M   3  NA       20 310
17  62  25  44  -4  21   0 0.00  0.0    0  6.9 16 180   M    M   0 1      22 180
18  64  36  50   2  15   0 0.00  0.0    0 11.5 21 180   M    M   5 NA        28 170
19  63  37  50   3  15   0 0.09  0.0    0  6.5 21 340   M    M   6 12     32 330
20  67  31  49   2  16   0 0.00  0.0    0  2.9  8 260   M    M   0  NA       11 200
21  73  31  52   5  13   0 0.00  0.0    0  5.1 12 200   M    M   0  NA       19 220
22  71  35  53   6  12   0 0.00  0.0    0 11.0 24 170   M    M   3 12     33 170
23  78  40  59  12   6   0 0.00  0.0    0 17.4 32 350   M    M   2 8      45 340
24  56  27  42  -5  23   0 0.00  0.0    0 12.6 25 330   M    M   0  NA       35 310
25  64  27  46  -1  19   0 0.00  0.0    0  5.3 13 180   M    M   0  NA       16 150
26  71  28  50   3  15   0 0.00  0.0    0 10.0 24 190   M    M   0  NA       29 180
27  78  44  61  14   4   0 0.00  0.0    0 10.5 26 200   M    M   0  NA       34 200
28  61  44  53   6  12   0 0.01  0.0    0  6.6 14  30   M    M   9  NA       16  30
29  72  54  63  16   2   0 0.04  0.0    0 15.1 28 160   M    M  10 1      35 160
30  64  41  53   6  12   0 1.54  0.0    0 15.9 28 360   M    M  10 13     37  10
31  42  37  40  -7  25   0 1.96  0.0    0 15.0 24  10   M    M  10 13     32  20
